Année,Date,Durée,Lieu,Labo/Structure,Code Thème,Thématique,Formateurice,Public,Nb de personnes formées,Précisions éventuelles
2021,44271,03:00:00,visio ,IST AMU,SO,inititation à la SO,"CSD, JC et IG",IST AMU,26,formation en visio pour le CRFCB
2021,44270,02:30:00,visio ,CNRS,SO,découvrir la SO,CSD et IG,IST hors AMU,14,"formation visio, possible mise en place travail collectif SPV/CSO : unités mixtes "
2021,44273,00:30:00,visio ,CDE,HAL,HAL ,IG,Gestionnaire,1,
2021,44277,00:45:00,visio ,INP,HAL,HAL questions juridiques,IG,Gestionnaire,1,
2021,44279,00:45:00,visio ,Labex DRIIHM,DR,DMP,CSD,"D, EC et IST AMU + hors AMU",44,séminaire Data-Driihm intervention présentation PGD et services CSO. (Précision CSD :  Sur les 44 environ 30 EC et 14 IST. Rajout MH 07/01/2022)
2021,44279,01:30:00,visio ,CAER,HAL,HAL,IG,EC,1,
2021,44294,02:30:00,visio ,ANR,DR,"PGD, DMP OPIDoR",CSD,EC,7,formation aux lauréats ANR
2021,44314,00:45:00,visio ,LBA,HAL,HAL. Niveau 1,JC  ,Gestionnaires,1,formation gestionnaire (rajout MH 07/01/2022)
2021,44315,02:30:00,visio ,ANR,DR,"PGD, DMP OPIDoR",CSD,EC,7,formation aux lauréats ANR
2021,16/04/2021,01:00:00,visio ,CEFF,HAL,HAL questions juridiques,IG,D,1,formation individuelle
2021,19/04/2021,00:45:00,visio ,LPED,HAL,HAL questions juridiques,IG,EC,1,formation individuelle. (Précision IG : 1 EC. Rajout MH 07/01/2022)
2021,20/04/2021,01:00:00,visio ,EC et IST AMU,HAL,RDV HAL AMU,IG,EC et IST,10,formation organisée avec la Gpeec AMU. (Précision IG :  8 EC et 2 IST. Rajout MH 07/01/2022)
2021,20/04/2021,00:45:00,visio ,LERMA,HAL,HAL questions juridiques,IG,EC et gestionnaire,2,formation en visio
2021,21/04/2021,00:45:00,visio ,LPCPP,HAL,HAL questions juridiques,IG,EC,1,formation individuelle
2021,22/04/2021,02:15:00,visio ,SESSTIM,HAL,HAL et la visibilité des chercheurs,IG et Carine Dou Goarin,EC,6,formation pour le Sesstim
2021,27/04/2021,01:00:00,visio ,EC et IST AMU,HAL,RDV HAL AMU,IG,EC et IST,13,formation organisée avec la Gpeec AMU (Précision IG :  10 EC et 3 IST. Rajout MH 07/01/2022)
2021,29/04/2021,00:30:00,visio ,CDE,HAL,HAL questions juridiques,IG,Gestionnaire,1,formation individuelle de la chargée de dépôt pour le CDE
2021,29/04/2021,00:45:00,visio ,Telemme,HAL,HAL questions juridiques,IG,EC,1,formation individuelle 
2021,29/04/2021,01:00:00,viso,IST hors AMU,HAL,HAL ,IG,IST hors AMU,1,formation individuelle pour une collègue des PU de Montpellier. (Précision IG :  doublon avec autre. Rajout MH 07/01/2022)
2021,44319,00:30:00,viso,Telemme,HAL,HAL ,JC,EC,1,formation individuelle
2021,44319,00:30:00,visio ,Maison de la recherche,HAL,HAL,IG,IST AMU,1,formation individuelle
2021,44320,00:15:00,visio ,ProtisValor,HAL,HAL,IG,IST AMU,1,formation individuelle 
2021,44320,01:00:00,visio ,EC et IST AMU,HAL,RDV HAL AMU,IG,EC et IST,11,formation organisée avec la Gpeec AMU. (Précision IG :  9 EC et 2 IST. Rajout MH 07/01/2022)
2021,44320,00:15:00,visio ,INT,HAL,HAL ,IG,IST AMU,1,formation individuelle
2021,44320,00:30:00,visio ,PIIM,HAL,HAL,IG,IST AMU,1,formation individuelle
2021,44323,00:40:00,visio ,LPL,HAL,HAL. Niveau 1,JC  ,Gestionnaires,1,formation gestionnaire Joëlle LAVAUX (rajout MH 07/01/2022)
2021,44327,01:15:00,visio ,EC et IST AMU,HAL,RDV HAL AMU,IG,EC et IS AMU,9,formation organisée avec la Gpeec AMU (Précision IG :  8 EC et 1 IST. Rajout MH 07/01/2022)
2021,44327,00:45:00,visio ,LPCPP,HAL,HAL questions juridiques,IG,EC,1,formation individuelle 
2021,44327,01:00:00,visio ,LPCPP,HAL,HAL questions juridiques,IG,EC,1,formation individuelle
2021,44327,01:00:00,visio ,ProtisValor,HAL,HAL ,IG,IST AMU,10,formation pour HAL et les projets européens 
2021,44327,00:45:00,visio ,LERMA,HAL,HAL,IG,EC,1,formation individuelle
2021,19/05/2021,01:00:00,visio ,MMSH,HAL,HAL,IG,IST AMU,1,formation individuelle 
2021,19/05/2021,00:30:00,visio ,IST hors AMU,HAL,HAL,IG,IST hors AMU,1,formation individuelle 
2021,20/05/2021,01:00:00,visio ,IST hors AMU,HAL,HAL et presses universitaires,IG,IST hors AMU,9,formation pour Mediad'Oc
2021,26/05/2021,03:00:00,visio ,Doctorants AMU/hors AMU,DR,éthique dans projets européens,"Caroline Strube, Delphine Cavallo,  CSD",Doctorants AMU/hors AMU,12,"Formation dans le cadre de Twinnnigs H2020 sur l'éthique dans les projets H2020, la GDR et le DMP. (Précision CSD :  Sur les doctorants 2 AMU et 10 hors AMU environ. Rajout MH 07/01/2022)"
2021,27/05/2021,03:30:00,visio ,Doctorants AMU/hors AMU,DR,éthique dans projets européens,"Delphine Cavallo,  CSD",Doctorants AMU/hors AMU,8,"Formation dans le cadre de Twinnnigs H2020 sur l'éthique dans les projets H2020, la GDR et le DMP. (Précision CSD :  Sur les doctorants 2 AMU et 6 hors AMU environ. Rajout MH 07/01/2022)"
2021,,06:00:00,visio,projet Bifrost - I2M,DR,"GDR, dépôt Zenodo, Data paper",CSD,Chercheur,1,plusieurs RDV sur plusieurs semaines pour déposer dans Zenodo et faire un Data paper
2021,28/05/2021,01:00:00,visio,"UMR Droits international, comparé et européen (DICE) Equipe CERIC ",DR,DMP OPIDoR,CSD,C / Post doct,2,Aurélie Mahalatchimy et Eloïse Gennet formation DMP
2021,44348,00:45:00,visio ,LBA,HAL,HAL. Niveau 1,JC  ,Gestionnaires,1,formation gestionnaire V. OSMONT (rajout MH 07/01/2022)
2021,44349,01:00:00,visio ,CNE,HAL,HAL et presses universitaires,IG,EC,2,revue Culture et Musées sur HAL 
2021,14/06/2021,01:00:00,visio ,cellule Europe,DR,DMP,CSD,IST,3,DMP RIS4CIVIS
2021,16/06/2021,01:30:00,visio ,MMSH,HAL,HAL et presses universitaires,IG,IST AMU,1,formation individuelle 
2021,22/06/2021,00:30:00,visio ,CNE,HAL,HAL et presses universitaires,IG,IST AMU,1,formation individuelle 
2021,44382,00:45:00,visio ,EC hors AMU,HAL,HAL questions juridiques ,IG,EC hors AMU,1,formation individuelle 
2021,44446,01:15:00,,EC,HAL,HAL et la visibilité des chercheurs,IG et Carine Dou Goarin,EC,27,formation pour le BIAM (CEA)
2021,28/09/2021,03:00:00,visio ,C,DR,"PGD, DMP OPIDoR",CSD,C,12,formation DMP organisée avec le SPV CNRS lauréats ANR CNRS. (Précision CSD :   porteurs de projets mais je ne connais pas la distinction IS. Majorité de chercheurs je pense. Rajout MH 07/01/2022)
